Month	EG4	g2p	UNH Lab	b1	Azz	QE	Doc	Conf	JobI	Other	Total
2/2013	3	7	35	7	0	28	0	0	0	20	14	114
3/2013	7	5	31	10	0	12	1	0	0	8	16	90
4/2013	3	5	6	55	0	11	1	0	0	4	10	95
5/2013	4	4	8	38	0	15	7	0	0	9	14	99
6/2013	12	4	4	33	0	8	1	4	0	5	4	75
7/2013	5	4	37	5	0	16	1	1	0	12	15	96
8/2013	8	4	47	5	0	28	0	0	0	3	5	100
9/2013	10	6	29	4	46	8	0	0	0	10	6	119
10/2013	5	6	18	8	17	0	0	13	0	11	5	83
11/2013	6	5	38	5	3	2	7	7	0	12	6	91
12/2013	4	4	19	0	0	18	6	0	0	6	1	58
1/2014	1	0	20	5	8	0	0	10	0	32	3	79
2/2014	17	6	12	6	10	20	1	15	3	10	7	107
3/2014	3	3	24	7	19	3	0	9	7	11	8	94
4/2014	11	6	20	9	41	0	0	5	5	14	6	117
5/2014	9	3	6	0	70	0	0	2	6	4	5	105
6/2014	8	3	4	0	7	5	4	13	4	14	3	65
7/2014	10	5	34	0	0	17	2	2	9	11	4	94
8/2014	3	6	16	1	1	4	10	13	4	8	2	68
9/2014	2	5	21	2	0	6	12	21	5	7	1	82
10/2014	11	7	35	0	0	26	4	2	3	0	5	93
